名前,れんたろう,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
,,,,,,,,,,144,+480.9,1571,,,,,
,,,,,,,,,,145,+496.0,1573,,,,,
,,,,,,,,,,146,+449.9,1565,,,,,
,,,,,,,,,,147,+524.0,1578,,,,,
,,,,,,,,,,148,+514.5,1576,,,,,
,,,,,,,,,,149,+570.0,1585,,,,,
,,,,,,,,,,150,+598.2,1590,,,,,
,,,,,,,,,,151,+593.5,1589,,,,,
,,,,,,,,,,152,+623.5,1594,,,,,
,,,,,,,,,,153,+682.5,1604,,,,,
,,,,,,,,,,154,+699.0,1607,,,,,
,,,,,,,,,,155,+713.8,1610,,,,,
,,,,,,,,,,156,+695.1,1607,,,,,
,,,,,,,,,,157,+756.0,1618,,,,,
,,,,,,,,,,158,+741.6,1614,,,,,
,,,,,,,,,,159,+699.6,1606,,,,,
,,,,,,,,,,160,+756.0,1616,,,,,
,,,,,,,,,,161,+796.4,1624,,,,,
,,,,,,,,,,162,+777.8,1620,,,,,
,,,,,,,,,,163,+791.6,1622,,,,,
,,,,,,,,,,164,+742.9,1613,,,,,
,,,,,,,,,,165,+772.1,1618,,,,,
,,,,,,,,,,166,+844.4,1631,,,,,
,,,,,,,,,,167,+888.2,1638,,,,,
