名前,全体,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
,,,,,,,,,,191,+0.3,1534,,,,,
,,,,,,,,,,192,-0.0,1534,,,,,
,,,,,,,,,,193,+52.1,1543,,,,,
,,,,,,,,,,194,+49.3,1542,,,,,
,,,,,,,,,,195,-0.0,1533,,,,,
,,,,,,,,,,196,-5.6,1531,,,,,
,,,,,,,,,,197,-28.2,1527,,,,,
,,,,,,,,,,198,-0.0,1532,,,,,
,,,,,,,,,,199,-22.0,1528,,,,,
,,,,,,,,,,200,-20.9,1529,,,,,
,,,,,,,,,,201,-0.0,1533,,,,,
,,,,,,,,,,202,-1.0,1533,,,,,
,,,,,,,,,,203,+18.4,1537,,,,,
,,,,,,,,,,204,-0.0,1534,,,,,
,,,,,,,,,,205,-47.2,1525,,,,,
,,,,,,,,,,206,-56.7,1523,,,,,
,,,,,,,,,,207,-0.0,1533,,,,,
,,,,,,,,,,208,-45.5,1525,,,,,
,,,,,,,,,,209,-7.4,1532,,,,,
,,,,,,,,,,210,-0.0,1533,,,,,
,,,,,,,,,,211,-31.8,1527,,,,,
,,,,,,,,,,212,-26.3,1529,,,,,
,,,,,,,,,,213,-0.0,1534,,,,,
,,,,,,,,,,214,+23.0,1538,,,,,
,,,,,,,,,,215,+22.6,1538,,,,,
,,,,,,,,,,216,-0.0,1534,,,,,
,,,,,,,,,,217,-18.7,1530,,,,,
,,,,,,,,,,218,+31.4,1539,,,,,
,,,,,,,,,,219,-0.0,1532,,,,,
,,,,,,,,,,220,+11.5,1535,,,,,
,,,,,,,,,,221,-1.3,1533,,,,,
,,,,,,,,,,222,-0.0,1534,,,,,
,,,,,,,,,,223,-41.1,1527,,,,,
,,,,,,,,,,224,-1.0,1535,,,,,
,,,,,,,,,,225,-0.0,1536,,,,,
,,,,,,,,,,226,+61.9,1547,,,,,
,,,,,,,,,,227,+16.1,1539,,,,,
,,,,,,,,,,228,-0.0,1537,,,,,
,,,,,,,,,,229,-30.7,1531,,,,,
,,,,,,,,,,230,-8.9,1534,,,,,
,,,,,,,,,,231,-0.0,1535,,,,,
,,,,,,,,,,232,+4.6,1536,,,,,
,,,,,,,,,,233,-43.8,1528,,,,,
,,,,,,,,,,234,-0.0,1536,,,,,
,,,,,,,,,,235,+2.8,1537,,,,,
,,,,,,,,,,236,-12.9,1535,,,,,
,,,,,,,,,,237,-0.0,1537,,,,,
,,,,,,,,,,238,+46.9,1546,,,,,
,,,,,,,,,,239,+49.3,1547,,,,,
,,,,,,,,,,240,-0.0,1539,,,,,
,,,,,,,,,,241,+10.5,1541,,,,,
,,,,,,,,,,242,+37.0,1546,,,,,
,,,,,,,,,,243,-0.0,1539,,,,,
,,,,,,,,,,244,+34.1,1546,,,,,
,,,,,,,,,,245,+47.8,1549,,,,,
,,,,,,,,,,246,-0.0,1540,,,,,
