名前,全体,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
,,,,,,,,,,339,+0.0,,,,,
,,,,,,,,,,340,-7.0,,,,,
,,,,,,,,,,341,-41.8,,,,,
,,,,,,,,,,342,+0.0,,,,,
,,,,,,,,,,343,-34.2,,,,,
,,,,,,,,,,344,+0.3,,,,,
,,,,,,,,,,345,+0.0,,,,,
,,,,,,,,,,346,-58.5,,,,,
,,,,,,,,,,347,-45.0,,,,,
,,,,,,,,,,348,+0.0,,,,,
,,,,,,,,,,349,-78.0,,,,,
,,,,,,,,,,350,-17.6,,,,,
,,,,,,,,,,351,+0.0,,,,,
,,,,,,,,,,352,+2.1,,,,,
,,,,,,,,,,353,+30.5,,,,,
,,,,,,,,,,354,+0.0,,,,,
,,,,,,,,,,355,+8.8,,,,,
,,,,,,,,,,356,+40.9,,,,,
,,,,,,,,,,357,+0.0,,,,,
,,,,,,,,,,358,+9.6,,,,,
,,,,,,,,,,359,-30.7,,,,,
,,,,,,,,,,360,+0.0,,,,,
,,,,,,,,,,361,-1.3,,,,,
,,,,,,,,,,362,+25.1,,,,,
,,,,,,,,,,363,+0.0,,,,,
,,,,,,,,,,364,-65.1,,,,,
,,,,,,,,,,365,-9.2,,,,,
,,,,,,,,,,366,+0.0,,,,,
,,,,,,,,,,367,+31.6,,,,,
,,,,,,,,,,368,+4.6,,,,,
,,,,,,,,,,369,+0.0,,,,,
,,,,,,,,,,370,-43.4,,,,,
,,,,,,,,,,371,+0.3,,,,,
,,,,,,,,,,372,+0.0,,,,,
,,,,,,,,,,373,-31.7,,,,,
,,,,,,,,,,374,-34.8,,,,,
,,,,,,,,,,375,+0.0,,,,,
,,,,,,,,,,376,+63.1,,,,,
,,,,,,,,,,377,+75.3,,,,,
,,,,,,,,,,378,+0.0,,,,,
,,,,,,,,,,379,-10.5,,,,,
,,,,,,,,,,380,+35.5,,,,,
,,,,,,,,,,381,+0.0,,,,,
,,,,,,,,,,382,-57.6,,,,,
,,,,,,,,,,383,-5.0,,,,,
,,,,,,,,,,384,+0.0,,,,,
,,,,,,,,,,385,-33.3,,,,,
,,,,,,,,,,386,-2.7,,,,,
,,,,,,,,,,387,+0.0,,,,,
,,,,,,,,,,388,-39.6,,,,,
,,,,,,,,,,389,-38.2,,,,,
,,,,,,,,,,390,+0.0,,,,,
