名前,全体,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
,,,,,,,,,,202,-19.0,1501,,,,,
,,,,,,,,,,203,+45.0,1512,,,,,
,,,,,,,,,,204,+0.0,1504,,,,,
,,,,,,,,,,205,-9.9,1502,,,,,
,,,,,,,,,,206,-6.8,1503,,,,,
,,,,,,,,,,207,+0.0,1504,,,,,
,,,,,,,,,,208,+0.9,1504,,,,,
,,,,,,,,,,209,+2.1,1504,,,,,
,,,,,,,,,,210,+0.0,1504,,,,,
,,,,,,,,,,211,+32.3,1510,,,,,
,,,,,,,,,,212,+35.1,1510,,,,,
,,,,,,,,,,213,+0.0,1504,,,,,
,,,,,,,,,,214,-46.0,1496,,,,,
,,,,,,,,,,215,-1.4,1504,,,,,
,,,,,,,,,,216,+0.0,1504,,,,,
,,,,,,,,,,217,+28.4,1509,,,,,
,,,,,,,,,,218,+27.0,1509,,,,,
,,,,,,,,,,219,+0.0,1504,,,,,
,,,,,,,,,,220,-7.4,1503,,,,,
,,,,,,,,,,221,-47.1,1496,,,,,
,,,,,,,,,,222,+0.0,1505,,,,,
,,,,,,,,,,223,+18.3,1508,,,,,
,,,,,,,,,,224,-14.8,1502,,,,,
,,,,,,,,,,225,+0.0,1505,,,,,
,,,,,,,,,,226,-13.9,1502,,,,,
,,,,,,,,,,227,-32.1,1499,,,,,
,,,,,,,,,,228,+0.0,1505,,,,,
,,,,,,,,,,229,+40.0,1512,,,,,
,,,,,,,,,,230,-0.4,1505,,,,,
,,,,,,,,,,231,+0.0,1505,,,,,
,,,,,,,,,,232,+5.2,1506,,,,,
,,,,,,,,,,233,-5.8,1504,,,,,
,,,,,,,,,,234,+0.0,1505,,,,,
,,,,,,,,,,235,-13.7,1502,,,,,
,,,,,,,,,,236,-29.5,1500,,,,,
,,,,,,,,,,237,+0.0,1505,,,,,
,,,,,,,,,,238,-23.0,1501,,,,,
,,,,,,,,,,239,-44.9,1496,,,,,
,,,,,,,,,,240,+0.0,1504,,,,,
,,,,,,,,,,241,+5.1,1505,,,,,
,,,,,,,,,,242,+16.4,1507,,,,,
,,,,,,,,,,243,+0.0,1504,,,,,
,,,,,,,,,,244,+31.9,1510,,,,,
,,,,,,,,,,245,+38.0,1511,,,,,
,,,,,,,,,,246,+0.0,1504,,,,,
,,,,,,,,,,247,+40.0,1511,,,,,
,,,,,,,,,,248,-4.0,1503,,,,,
,,,,,,,,,,249,+0.0,1504,,,,,
,,,,,,,,,,250,+22.5,1508,,,,,
,,,,,,,,,,251,-18.5,1501,,,,,
,,,,,,,,,,252,+0.0,1504,,,,,
,,,,,,,,,,253,+31.5,1510,,,,,
,,,,,,,,,,254,+20.7,1508,,,,,
,,,,,,,,,,255,+0.0,1504,,,,,
,,,,,,,,,,256,+59.8,1515,,,,,
,,,,,,,,,,257,+24.3,1508,,,,,
,,,,,,,,,,258,+0.0,1504,,,,,
