名前,たかの,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
,,,,,,,,,,214,-914.1,1422,,,,,
,,,,,,,,,,215,-900.0,1425,,,,,
,,,,,,,,,,216,-925.6,1422,,,,,
,,,,,,,,,,217,-927.7,1422,,,,,
,,,,,,,,,,218,-926.9,1424,,,,,
,,,,,,,,,,219,-958.5,1418,,,,,
,,,,,,,,,,220,-985.4,1414,,,,,
,,,,,,,,,,221,-1005.7,1411,,,,,
,,,,,,,,,,222,-1014.4,1409,,,,,
,,,,,,,,,,223,-985.6,1415,,,,,
,,,,,,,,,,224,-970.8,1417,,,,,
,,,,,,,,,,225,-1013.1,1410,,,,,
,,,,,,,,,,226,-1001.7,1412,,,,,
,,,,,,,,,,227,-979.5,1417,,,,,
,,,,,,,,,,228,-1015.6,1411,,,,,
,,,,,,,,,,229,-1041.1,1406,,,,,
,,,,,,,,,,230,-996.1,1415,,,,,
,,,,,,,,,,231,-972.5,1419,,,,,
,,,,,,,,,,232,-945.8,1425,,,,,
,,,,,,,,,,233,-974.7,1420,,,,,
,,,,,,,,,,234,-946.6,1426,,,,,
,,,,,,,,,,235,-899.8,1435,,,,,
,,,,,,,,,,236,-948.4,1427,,,,,
,,,,,,,,,,237,-989.5,1421,,,,,
,,,,,,,,,,238,-1032.8,1413,,,,,
,,,,,,,,,,239,-1059.2,1410,,,,,
,,,,,,,,,,240,-1095.3,1403,,,,,
,,,,,,,,,,241,-1076.1,1408,,,,,
,,,,,,,,,,242,-1098.6,1404,,,,,
,,,,,,,,,,243,-1186.0,1389,,,,,
,,,,,,,,,,244,-1217.5,1385,,,,,
,,,,,,,,,,245,-1184.0,1392,,,,,
,,,,,,,,,,246,-1172.0,1395,,,,,
,,,,,,,,,,247,-1191.7,1392,,,,,
,,,,,,,,,,248,-1238.5,1384,,,,,
,,,,,,,,,,249,-1201.7,1392,,,,,
,,,,,,,,,,250,-1246.8,1384,,,,,
,,,,,,,,,,251,-1293.5,1376,,,,,
,,,,,,,,,,252,-1284.5,1379,,,,,
,,,,,,,,,,253,-1324.7,1373,,,,,
,,,,,,,,,,254,-1353.4,1369,,,,,
,,,,,,,,,,255,-1328.7,1374,,,,,
,,,,,,,,,,256,-1300.4,1379,,,,,
,,,,,,,,,,257,-1296.5,1381,,,,,
,,,,,,,,,,258,-1315.5,1378,,,,,
,,,,,,,,,,259,-1285.1,1384,,,,,
,,,,,,,,,,260,-1293.4,1383,,,,,
,,,,,,,,,,261,-1289.2,1384,,,,,
,,,,,,,,,,262,-1252.5,1391,,,,,
,,,,,,,,,,263,-1263.0,1390,,,,,
,,,,,,,,,,264,-1263.2,1390,,,,,
,,,,,,,,,,265,-1264.7,1391,,,,,
,,,,,,,,,,266,-1323.0,1380,,,,,
,,,,,,,,,,267,-1292.5,1386,,,,,
,,,,,,,,,,268,-1230.1,1398,,,,,
,,,,,,,,,,269,-1221.7,1401,,,,,
,,,,,,,,,,270,-1230.0,1401,,,,,
,,,,,,,,,,271,-1233.4,1401,,,,,
,,,,,,,,,,272,-1270.9,1394,,,,,
,,,,,,,,,,273,-1305.4,1389,,,,,
,,,,,,,,,,274,-1366.7,1379,,,,,
,,,,,,,,,,275,-1392.4,1376,,,,,
,,,,,,,,,,276,-1384.8,1378,,,,,
,,,,,,,,,,277,-1409.4,1374,,,,,
,,,,,,,,,,278,-1400.2,1377,,,,,
,,,,,,,,,,279,-1383.5,1381,,,,,
,,,,,,,,,,280,-1387.4,1380,,,,,
,,,,,,,,,,281,-1391.5,1381,,,,,
,,,,,,,,,,282,-1446.1,1372,,,,,
,,,,,,,,,,283,-1506.3,1361,,,,,
,,,,,,,,,,284,-1505.1,1362,,,,,
,,,,,,,,,,285,-1505.5,1362,,,,,
,,,,,,,,,,286,-1449.5,1373,,,,,
,,,,,,,,,,287,-1368.0,1388,,,,,
,,,,,,,,,,288,-1346.5,1393,,,,,
,,,,,,,,,,289,-1393.1,1386,,,,,
,,,,,,,,,,290,-1365.2,1392,,,,,
,,,,,,,,,,291,-1338.2,1397,,,,,
,,,,,,,,,,292,-1387.1,1388,,,,,
,,,,,,,,,,293,-1408.7,1384,,,,,
,,,,,,,,,,294,-1453.9,1377,,,,,
,,,,,,,,,,295,-1477.2,1373,,,,,
,,,,,,,,,,296,-1461.1,1377,,,,,
,,,,,,,,,,297,-1473.7,1376,,,,,
,,,,,,,,,,298,-1422.4,1385,,,,,
,,,,,,,,,,299,-1416.1,1387,,,,,
,,,,,,,,,,300,-1392.9,1391,,,,,
,,,,,,,,,,301,-1386.2,1394,,,,,
,,,,,,,,,,302,-1433.8,1387,,,,,
,,,,,,,,,,303,-1460.1,1383,,,,,
,,,,,,,,,,304,-1405.4,1395,,,,,
,,,,,,,,,,305,-1452.7,1388,,,,,
,,,,,,,,,,306,-1464.5,1387,,,,,
,,,,,,,,,,307,-1415.0,1397,,,,,
,,,,,,,,,,308,-1408.5,1400,,,,,
,,,,,,,,,,309,-1413.3,1399,,,,,
,,,,,,,,,,310,-1464.5,1390,,,,,
,,,,,,,,,,311,-1418.7,1398,,,,,
,,,,,,,,,,312,-1420.2,1399,,,,,
,,,,,,,,,,313,-1455.0,1394,,,,,
,,,,,,,,,,314,-1447.9,1396,,,,,
,,,,,,,,,,315,-1423.5,1401,,,,,
,,,,,,,,,,316,-1423.6,1402,,,,,
,,,,,,,,,,317,-1429.4,1402,,,,,
,,,,,,,,,,318,-1421.0,1405,,,,,
,,,,,,,,,,319,-1441.7,1402,,,,,
,,,,,,,,,,320,-1411.1,1408,,,,,
,,,,,,,,,,321,-1416.4,1408,,,,,
,,,,,,,,,,322,-1399.2,1412,,,,,
,,,,,,,,,,323,-1398.6,1412,,,,,
,,,,,,,,,,324,-1375.4,1417,,,,,
,,,,,,,,,,325,-1421.4,1410,,,,,
,,,,,,,,,,326,-1442.2,1407,,,,,
,,,,,,,,,,327,-1438.6,1408,,,,,
,,,,,,,,,,328,-1441.2,1409,,,,,
,,,,,,,,,,329,-1413.3,1415,,,,,
,,,,,,,,,,330,-1362.0,1425,,,,,
,,,,,,,,,,331,-1322.1,1433,,,,,
,,,,,,,,,,332,-1312.0,1436,,,,,
,,,,,,,,,,333,-1285.7,1441,,,,,
,,,,,,,,,,334,-1285.7,1442,,,,,
,,,,,,,,,,335,-1308.8,1439,,,,,
,,,,,,,,,,336,-1314.0,1439,,,,,
,,,,,,,,,,337,-1297.4,1443,,,,,
,,,,,,,,,,338,-1282.6,1447,,,,,
,,,,,,,,,,339,-1255.6,1453,,,,,
,,,,,,,,,,340,-1231.4,1458,,,,,
,,,,,,,,,,341,-1230.4,1458,,,,,
