名前,まっつん,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
,,,,,,,,,,315,-457.6,1516,,,,,
,,,,,,,,,,316,-503.8,1509,,,,,
,,,,,,,,,,317,-471.5,1516,,,,,
,,,,,,,,,,318,-478.5,1515,,,,,
,,,,,,,,,,319,-485.3,1515,,,,,
,,,,,,,,,,320,-493.6,1514,,,,,
,,,,,,,,,,321,-462.2,1521,,,,,
,,,,,,,,,,322,-501.2,1514,,,,,
,,,,,,,,,,323,-527.2,1509,,,,,
,,,,,,,,,,324,-543.7,1506,,,,,
,,,,,,,,,,325,-515.7,1511,,,,,
,,,,,,,,,,326,-499.4,1514,,,,,
,,,,,,,,,,327,-491.4,1515,,,,,
,,,,,,,,,,328,-479.0,1517,,,,,
,,,,,,,,,,329,-479.5,1517,,,,,
,,,,,,,,,,330,-541.8,1506,,,,,
,,,,,,,,,,331,-527.5,1509,,,,,
,,,,,,,,,,332,-554.6,1504,,,,,
,,,,,,,,,,333,-575.5,1501,,,,,
,,,,,,,,,,334,-549.5,1506,,,,,
,,,,,,,,,,335,-517.6,1512,,,,,
,,,,,,,,,,336,-507.3,1515,,,,,
,,,,,,,,,,337,-499.3,1518,,,,,
,,,,,,,,,,338,-493.9,1519,,,,,
,,,,,,,,,,339,-525.0,1513,,,,,
,,,,,,,,,,340,-566.6,1506,,,,,
,,,,,,,,,,341,-604.9,1499,,,,,
,,,,,,,,,,342,-628.4,1496,,,,,
,,,,,,,,,,343,-600.4,1502,,,,,
,,,,,,,,,,344,-620.3,1499,,,,,
,,,,,,,,,,345,-628.1,1499,,,,,
,,,,,,,,,,346,-680.9,1490,,,,,
,,,,,,,,,,347,-631.4,1499,,,,,
,,,,,,,,,,348,-619.2,1503,,,,,
,,,,,,,,,,349,-555.7,1514,,,,,
,,,,,,,,,,350,-525.7,1518,,,,,
,,,,,,,,,,351,-522.2,1519,,,,,
,,,,,,,,,,352,-488.2,1524,,,,,
,,,,,,,,,,353,-492.2,1523,,,,,
,,,,,,,,,,354,-503.7,1522,,,,,
,,,,,,,,,,355,-537.1,1516,,,,,
,,,,,,,,,,356,-594.7,1506,,,,,
,,,,,,,,,,357,-642.8,1497,,,,,
,,,,,,,,,,358,-680.0,1490,,,,,
,,,,,,,,,,359,-660.9,1494,,,,,
,,,,,,,,,,360,-616.5,1503,,,,,
