名前,れんたろう,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
,,,,,,,,,,279,-195.7,1547,,,,,
,,,,,,,,,,280,-223.8,1543,,,,,
,,,,,,,,,,281,-253.8,1537,,,,,
,,,,,,,,,,282,-257.1,1536,,,,,
,,,,,,,,,,283,-215.1,1543,,,,,
,,,,,,,,,,284,-246.7,1537,,,,,
,,,,,,,,,,285,-217.9,1542,,,,,
,,,,,,,,,,286,-239.2,1539,,,,,
,,,,,,,,,,287,-170.1,1552,,,,,
,,,,,,,,,,288,-134.6,1558,,,,,
,,,,,,,,,,289,-56.0,1573,,,,,
,,,,,,,,,,290,-55.7,1573,,,,,
,,,,,,,,,,291,-20.6,1578,,,,,
,,,,,,,,,,292,-42.9,1574,,,,,
,,,,,,,,,,293,+0.2,1581,,,,,
,,,,,,,,,,294,-23.8,1576,,,,,
,,,,,,,,,,295,-28.8,1575,,,,,
,,,,,,,,,,296,-65.9,1568,,,,,
,,,,,,,,,,297,-78.3,1566,,,,,
,,,,,,,,,,298,-33.2,1574,,,,,
,,,,,,,,,,299,-16.2,1578,,,,,
,,,,,,,,,,300,+32.8,1587,,,,,
,,,,,,,,,,301,+39.9,1588,,,,,
,,,,,,,,,,302,+26.8,1584,,,,,
,,,,,,,,,,303,+13.8,1581,,,,,
,,,,,,,,,,304,-5.7,1578,,,,,
,,,,,,,,,,305,-51.2,1571,,,,,
,,,,,,,,,,306,+8.0,1582,,,,,
,,,,,,,,,,307,+43.8,1588,,,,,
,,,,,,,,,,308,+35.9,1586,,,,,
,,,,,,,,,,309,+133.0,1602,,,,,
,,,,,,,,,,310,+130.2,1601,,,,,
,,,,,,,,,,311,+97.9,1595,,,,,
,,,,,,,,,,312,+110.7,1596,,,,,
,,,,,,,,,,313,+141.4,1601,,,,,
,,,,,,,,,,314,+81.1,1590,,,,,
,,,,,,,,,,315,+35.5,1581,,,,,
,,,,,,,,,,316,+7.6,1575,,,,,
,,,,,,,,,,317,+0.7,1574,,,,,
,,,,,,,,,,318,+43.0,1583,,,,,
,,,,,,,,,,319,-12.5,1573,,,,,
,,,,,,,,,,320,-61.2,1565,,,,,
,,,,,,,,,,321,-79.5,1562,,,,,
,,,,,,,,,,322,-124.7,1554,,,,,
,,,,,,,,,,323,-95.9,1560,,,,,
,,,,,,,,,,324,-94.3,1560,,,,,
,,,,,,,,,,325,-123.9,1554,,,,,
,,,,,,,,,,326,-124.8,1553,,,,,
,,,,,,,,,,327,-113.3,1555,,,,,
,,,,,,,,,,328,-138.7,1550,,,,,
,,,,,,,,,,329,-161.4,1545,,,,,
,,,,,,,,,,330,-136.4,1550,,,,,
,,,,,,,,,,331,-88.9,1559,,,,,
,,,,,,,,,,332,-84.7,1560,,,,,
,,,,,,,,,,333,-38.5,1568,,,,,
,,,,,,,,,,334,-61.7,1563,,,,,
,,,,,,,,,,335,-25.4,1570,,,,,
,,,,,,,,,,336,+10.3,1576,,,,,
,,,,,,,,,,337,+10.4,1575,,,,,
,,,,,,,,,,338,+9.7,1575,,,,,
,,,,,,,,,,339,+24.0,1577,,,,,
,,,,,,,,,,340,+61.7,1583,,,,,
,,,,,,,,,,341,+25.3,1577,,,,,
,,,,,,,,,,342,+19.9,1577,,,,,
,,,,,,,,,,343,+34.5,1580,,,,,
,,,,,,,,,,344,+77.3,1587,,,,,
,,,,,,,,,,345,+83.9,1588,,,,,
,,,,,,,,,,346,+47.3,1581,,,,,
,,,,,,,,,,347,+70.8,1585,,,,,
,,,,,,,,,,348,+113.2,1592,,,,,
,,,,,,,,,,349,+146.1,1598,,,,,
,,,,,,,,,,350,+184.0,1604,,,,,
,,,,,,,,,,351,+197.5,1605,,,,,
,,,,,,,,,,352,+275.8,1619,,,,,
,,,,,,,,,,353,+291.4,1622,,,,,
,,,,,,,,,,354,+313.1,1626,,,,,
,,,,,,,,,,355,+312.1,1626,,,,,
,,,,,,,,,,356,+256.1,1616,,,,,
,,,,,,,,,,357,+233.8,1612,,,,,
,,,,,,,,,,358,+294.0,1623,,,,,
,,,,,,,,,,359,+381.1,1637,,,,,
,,,,,,,,,,360,+347.8,1630,,,,,
,,,,,,,,,,361,+297.4,1620,,,,,
,,,,,,,,,,362,+298.7,1621,,,,,
,,,,,,,,,,363,+284.3,1618,,,,,
,,,,,,,,,,364,+296.5,1621,,,,,
,,,,,,,,,,365,+246.0,1612,,,,,
,,,,,,,,,,366,+180.5,1600,,,,,
,,,,,,,,,,367,+150.0,1594,,,,,
,,,,,,,,,,368,+206.3,1603,,,,,
,,,,,,,,,,369,+169.1,1597,,,,,
,,,,,,,,,,370,+204.8,1604,,,,,
,,,,,,,,,,371,+187.2,1600,,,,,
,,,,,,,,,,372,+140.2,1592,,,,,
,,,,,,,,,,373,+127.2,1590,,,,,
,,,,,,,,,,374,+187.9,1601,,,,,
,,,,,,,,,,375,+219.1,1607,,,,,
,,,,,,,,,,376,+223.6,1608,,,,,
,,,,,,,,,,377,+230.1,1608,,,,,
,,,,,,,,,,378,+263.5,1614,,,,,
,,,,,,,,,,379,+231.7,1608,,,,,
,,,,,,,,,,380,+256.9,1612,,,,,
,,,,,,,,,,381,+262.9,1613,,,,,
,,,,,,,,,,382,+209.9,1604,,,,,
,,,,,,,,,,383,+226.5,1607,,,,,
,,,,,,,,,,384,+203.3,1603,,,,,
,,,,,,,,,,385,+155.9,1595,,,,,
,,,,,,,,,,386,+171.0,1598,,,,,
,,,,,,,,,,387,+124.9,1589,,,,,
,,,,,,,,,,388,+199.0,1602,,,,,
,,,,,,,,,,389,+189.5,1599,,,,,
,,,,,,,,,,390,+245.0,1609,,,,,
,,,,,,,,,,391,+273.2,1613,,,,,
,,,,,,,,,,392,+268.5,1612,,,,,
,,,,,,,,,,393,+298.5,1617,,,,,
,,,,,,,,,,394,+357.5,1627,,,,,
,,,,,,,,,,395,+374.0,1630,,,,,
,,,,,,,,,,396,+388.8,1633,,,,,
,,,,,,,,,,397,+370.1,1630,,,,,
,,,,,,,,,,398,+431.0,1641,,,,,
,,,,,,,,,,399,+416.6,1638,,,,,
,,,,,,,,,,400,+374.6,1630,,,,,
,,,,,,,,,,401,+431.0,1640,,,,,
,,,,,,,,,,402,+471.4,1648,,,,,
,,,,,,,,,,403,+452.8,1644,,,,,
,,,,,,,,,,404,+466.6,1646,,,,,
,,,,,,,,,,405,+417.9,1637,,,,,
,,,,,,,,,,406,+447.1,1642,,,,,
,,,,,,,,,,407,+519.4,1654,,,,,
,,,,,,,,,,408,+563.2,1661,,,,,
,,,,,,,,,,409,+560.3,1660,,,,,
,,,,,,,,,,410,+596.1,1666,,,,,
,,,,,,,,,,411,+624.7,1671,,,,,
,,,,,,,,,,412,+590.6,1664,,,,,
,,,,,,,,,,413,+581.2,1662,,,,,
,,,,,,,,,,414,+606.8,1667,,,,,
,,,,,,,,,,415,+580.1,1662,,,,,
,,,,,,,,,,416,+553.2,1656,,,,,
,,,,,,,,,,417,+596.7,1664,,,,,
,,,,,,,,,,418,+589.2,1663,,,,,
,,,,,,,,,,419,+554.5,1656,,,,,
,,,,,,,,,,420,+579.1,1661,,,,,
,,,,,,,,,,421,+529.7,1652,,,,,
,,,,,,,,,,422,+578.3,1661,,,,,
,,,,,,,,,,423,+530.1,1652,,,,,
,,,,,,,,,,424,+552.4,1657,,,,,
,,,,,,,,,,425,+530.3,1653,,,,,
,,,,,,,,,,426,+493.9,1646,,,,,
,,,,,,,,,,427,+518.7,1651,,,,,
,,,,,,,,,,428,+491.2,1646,,,,,
,,,,,,,,,,429,+444.7,1637,,,,,
,,,,,,,,,,430,+482.0,1644,,,,,
,,,,,,,,,,431,+483.3,1644,,,,,
,,,,,,,,,,432,+570.6,1660,,,,,
,,,,,,,,,,433,+517.7,1650,,,,,
,,,,,,,,,,434,+445.0,1635,,,,,
,,,,,,,,,,435,+398.4,1627,,,,,
,,,,,,,,,,436,+432.0,1634,,,,,
,,,,,,,,,,437,+473.6,1641,,,,,
,,,,,,,,,,438,+564.6,1656,,,,,
,,,,,,,,,,439,+571.4,1656,,,,,
,,,,,,,,,,440,+544.6,1651,,,,,
,,,,,,,,,,441,+545.4,1651,,,,,
,,,,,,,,,,442,+495.1,1642,,,,,
,,,,,,,,,,443,+533.8,1649,,,,,
,,,,,,,,,,444,+493.2,1642,,,,,
,,,,,,,,,,445,+438.8,1632,,,,,
,,,,,,,,,,446,+402.9,1626,,,,,
,,,,,,,,,,447,+408.4,1627,,,,,
,,,,,,,,,,448,+382.5,1623,,,,,
