名前,ただ,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
,,,,,,,,,,302,-1002.1,1432,,,,,
,,,,,,,,,,303,-1047.7,1424,,,,,
,,,,,,,,,,304,-1036.4,1427,,,,,
,,,,,,,,,,305,-1060.7,1423,,,,,
,,,,,,,,,,306,-1040.2,1427,,,,,
,,,,,,,,,,307,-1013.4,1433,,,,,
,,,,,,,,,,308,-1014.0,1434,,,,,
,,,,,,,,,,309,-1011.6,1435,,,,,
,,,,,,,,,,310,-1058.9,1427,,,,,
,,,,,,,,,,311,-1085.8,1423,,,,,
,,,,,,,,,,312,-1080.5,1425,,,,,
,,,,,,,,,,313,-1070.2,1428,,,,,
,,,,,,,,,,314,-1091.1,1425,,,,,
,,,,,,,,,,315,-1088.9,1426,,,,,
,,,,,,,,,,316,-1140.5,1418,,,,,
,,,,,,,,,,317,-1146.4,1418,,,,,
,,,,,,,,,,318,-1189.4,1411,,,,,
,,,,,,,,,,319,-1181.8,1414,,,,,
,,,,,,,,,,320,-1115.0,1427,,,,,
,,,,,,,,,,321,-1164.5,1419,,,,,
,,,,,,,,,,322,-1098.1,1432,,,,,
,,,,,,,,,,323,-1069.3,1437,,,,,
,,,,,,,,,,324,-1040.5,1442,,,,,
,,,,,,,,,,325,-1039.7,1444,,,,,
,,,,,,,,,,326,-1039.7,1445,,,,,
,,,,,,,,,,327,-1012.8,1450,,,,,
,,,,,,,,,,328,-1004.7,1453,,,,,
,,,,,,,,,,329,-1036.2,1448,,,,,
,,,,,,,,,,330,-1018.2,1451,,,,,
,,,,,,,,,,331,-961.3,1462,,,,,
,,,,,,,,,,332,-938.6,1466,,,,,
,,,,,,,,,,333,-907.8,1472,,,,,
,,,,,,,,,,334,-857.3,1482,,,,,
,,,,,,,,,,335,-848.7,1484,,,,,
,,,,,,,,,,336,-824.0,1490,,,,,
,,,,,,,,,,337,-830.2,1488,,,,,
,,,,,,,,,,338,-837.5,1487,,,,,
,,,,,,,,,,339,-845.5,1486,,,,,
,,,,,,,,,,340,-891.2,1479,,,,,
,,,,,,,,,,341,-843.3,1488,,,,,
,,,,,,,,,,342,-892.5,1479,,,,,
,,,,,,,,,,343,-870.5,1483,,,,,
,,,,,,,,,,344,-818.4,1492,,,,,
,,,,,,,,,,345,-790.2,1497,,,,,
,,,,,,,,,,346,-769.3,1502,,,,,
,,,,,,,,,,347,-787.7,1499,,,,,
,,,,,,,,,,348,-786.7,1500,,,,,
,,,,,,,,,,349,-742.9,1508,,,,,
,,,,,,,,,,350,-730.0,1511,,,,,
,,,,,,,,,,351,-779.3,1503,,,,,
,,,,,,,,,,352,-753.2,1508,,,,,
,,,,,,,,,,353,-732.1,1513,,,,,
,,,,,,,,,,354,-704.0,1518,,,,,
,,,,,,,,,,355,-677.8,1523,,,,,
,,,,,,,,,,356,-655.5,1528,,,,,
,,,,,,,,,,357,-707.0,1520,,,,,
,,,,,,,,,,358,-682.2,1524,,,,,
,,,,,,,,,,359,-711.0,1518,,,,,
,,,,,,,,,,360,-727.7,1516,,,,,
,,,,,,,,,,361,-740.7,1514,,,,,
,,,,,,,,,,362,-793.4,1504,,,,,
,,,,,,,,,,363,-756.2,1512,,,,,
,,,,,,,,,,364,-809.0,1503,,,,,
,,,,,,,,,,365,-753.9,1513,,,,,
,,,,,,,,,,366,-763.1,1512,,,,,
,,,,,,,,,,367,-727.6,1518,,,,,
,,,,,,,,,,368,-715.0,1520,,,,,
,,,,,,,,,,369,-686.3,1525,,,,,
,,,,,,,,,,370,-651.8,1531,,,,,
,,,,,,,,,,371,-618.0,1537,,,,,
,,,,,,,,,,372,-611.5,1538,,,,,
,,,,,,,,,,373,-614.6,1538,,,,,
,,,,,,,,,,374,-640.7,1534,,,,,
,,,,,,,,,,375,-621.3,1538,,,,,
,,,,,,,,,,376,-674.7,1528,,,,,
,,,,,,,,,,377,-665.3,1529,,,,,
,,,,,,,,,,378,-658.0,1530,,,,,
,,,,,,,,,,379,-626.5,1536,,,,,
,,,,,,,,,,380,-624.9,1536,,,,,
,,,,,,,,,,381,-611.6,1539,,,,,
,,,,,,,,,,382,-632.9,1535,,,,,
,,,,,,,,,,383,-627.8,1536,,,,,
,,,,,,,,,,384,-657.4,1530,,,,,
,,,,,,,,,,385,-673.3,1527,,,,,
,,,,,,,,,,386,-718.5,1520,,,,,
,,,,,,,,,,387,-681.1,1527,,,,,
,,,,,,,,,,388,-684.6,1527,,,,,
,,,,,,,,,,389,-632.7,1536,,,,,
,,,,,,,,,,390,-649.8,1532,,,,,
,,,,,,,,,,391,-645.6,1533,,,,,
,,,,,,,,,,392,-675.9,1528,,,,,
,,,,,,,,,,393,-685.5,1527,,,,,
,,,,,,,,,,394,-734.3,1519,,,,,
,,,,,,,,,,395,-768.0,1513,,,,,
,,,,,,,,,,396,-900.9,1489,,,,,
,,,,,,,,,,397,-930.3,1485,,,,,
,,,,,,,,,,398,-929.8,1486,,,,,
,,,,,,,,,,399,-952.2,1482,,,,,
,,,,,,,,,,400,-965.7,1480,,,,,
,,,,,,,,,,401,-959.1,1482,,,,,
,,,,,,,,,,402,-988.7,1478,,,,,
,,,,,,,,,,403,-1036.5,1470,,,,,
,,,,,,,,,,404,-1058.6,1466,,,,,
,,,,,,,,,,405,-1033.6,1472,,,,,
,,,,,,,,,,406,-1052.0,1469,,,,,
,,,,,,,,,,407,-1050.9,1470,,,,,
,,,,,,,,,,408,-1051.0,1470,,,,,
,,,,,,,,,,409,-1020.6,1476,,,,,
,,,,,,,,,,410,-1030.3,1474,,,,,
,,,,,,,,,,411,-970.3,1485,,,,,
,,,,,,,,,,412,-915.1,1495,,,,,
,,,,,,,,,,413,-916.1,1495,,,,,
,,,,,,,,,,414,-916.8,1495,,,,,
,,,,,,,,,,415,-897.4,1499,,,,,
,,,,,,,,,,416,-892.1,1500,,,,,
,,,,,,,,,,417,-863.2,1506,,,,,
,,,,,,,,,,418,-860.6,1507,,,,,
,,,,,,,,,,419,-907.6,1500,,,,,
,,,,,,,,,,420,-908.2,1500,,,,,
,,,,,,,,,,421,-860.8,1509,,,,,
,,,,,,,,,,422,-871.5,1508,,,,,
,,,,,,,,,,423,-877.0,1508,,,,,
,,,,,,,,,,424,-874.4,1509,,,,,
,,,,,,,,,,425,-847.6,1514,,,,,
,,,,,,,,,,426,-829.5,1518,,,,,
,,,,,,,,,,427,-882.1,1509,,,,,
,,,,,,,,,,428,-924.1,1502,,,,,
,,,,,,,,,,429,-918.9,1504,,,,,
,,,,,,,,,,430,-970.4,1494,,,,,
,,,,,,,,,,431,-977.4,1493,,,,,
,,,,,,,,,,432,-990.3,1491,,,,,
,,,,,,,,,,433,-968.6,1495,,,,,
,,,,,,,,,,434,-911.7,1506,,,,,
,,,,,,,,,,435,-910.8,1505,,,,,
,,,,,,,,,,436,-946.4,1499,,,,,
,,,,,,,,,,437,-954.5,1499,,,,,
,,,,,,,,,,438,-979.3,1494,,,,,
,,,,,,,,,,439,-943.1,1501,,,,,
,,,,,,,,,,440,-941.0,1501,,,,,
,,,,,,,,,,441,-970.0,1496,,,,,
,,,,,,,,,,442,-990.2,1494,,,,,
,,,,,,,,,,443,-1020.2,1489,,,,,
,,,,,,,,,,444,-971.4,1498,,,,,
,,,,,,,,,,445,-940.7,1503,,,,,
,,,,,,,,,,446,-980.3,1496,,,,,
,,,,,,,,,,447,-945.9,1503,,,,,
,,,,,,,,,,448,-980.3,1498,,,,,
,,,,,,,,,,449,-1003.7,1494,,,,,
,,,,,,,,,,450,-943.1,1506,,,,,
,,,,,,,,,,451,-981.6,1500,,,,,
,,,,,,,,,,452,-1016.6,1495,,,,,
,,,,,,,,,,453,-1011.2,1496,,,,,
,,,,,,,,,,454,-1046.2,1491,,,,,
,,,,,,,,,,455,-1045.9,1492,,,,,
,,,,,,,,,,456,-1033.9,1494,,,,,
,,,,,,,,,,457,-994.2,1501,,,,,
,,,,,,,,,,458,-1014.2,1498,,,,,
,,,,,,,,,,459,-993.2,1502,,,,,
,,,,,,,,,,460,-955.0,1509,,,,,
