名前,全体,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
,,,,,,,,,,398,-11.8,,,,,
,,,,,,,,,,399,+0.0,,,,,
,,,,,,,,,,400,+24.5,,,,,
,,,,,,,,,,401,+19.6,,,,,
,,,,,,,,,,402,+0.0,,,,,
,,,,,,,,,,403,+16.9,,,,,
,,,,,,,,,,404,+18.1,,,,,
,,,,,,,,,,405,+0.0,,,,,
,,,,,,,,,,406,-37.5,,,,,
,,,,,,,,,,407,-12.0,,,,,
,,,,,,,,,,408,+0.0,,,,,
,,,,,,,,,,409,+38.5,,,,,
,,,,,,,,,,410,+0.5,,,,,
,,,,,,,,,,411,+0.0,,,,,
,,,,,,,,,,412,-46.5,,,,,
,,,,,,,,,,413,-42.0,,,,,
,,,,,,,,,,414,+0.0,,,,,
,,,,,,,,,,415,+13.2,,,,,
,,,,,,,,,,416,+5.8,,,,,
,,,,,,,,,,417,+0.0,,,,,
,,,,,,,,,,418,-19.5,,,,,
,,,,,,,,,,419,-1.7,,,,,
,,,,,,,,,,420,+0.0,,,,,
,,,,,,,,,,421,+41.4,,,,,
,,,,,,,,,,422,+15.0,,,,,
,,,,,,,,,,423,+0.0,,,,,
,,,,,,,,,,424,+27.1,,,,,
,,,,,,,,,,425,-23.5,,,,,
,,,,,,,,,,426,+0.0,,,,,
,,,,,,,,,,427,+8.5,,,,,
,,,,,,,,,,428,+34.2,,,,,
,,,,,,,,,,429,+0.0,,,,,
,,,,,,,,,,430,+4.8,,,,,
,,,,,,,,,,431,-12.0,,,,,
,,,,,,,,,,432,+0.0,,,,,
,,,,,,,,,,433,+43.3,,,,,
,,,,,,,,,,434,+35.5,,,,,
,,,,,,,,,,435,+0.0,,,,,
,,,,,,,,,,436,+26.0,,,,,
,,,,,,,,,,437,+20.7,,,,,
,,,,,,,,,,438,+0.0,,,,,
,,,,,,,,,,439,+11.0,,,,,
,,,,,,,,,,440,-21.8,,,,,
,,,,,,,,,,441,+0.0,,,,,
,,,,,,,,,,442,+41.0,,,,,
,,,,,,,,,,443,-4.5,,,,,
,,,,,,,,,,444,+0.0,,,,,
,,,,,,,,,,445,+25.0,,,,,
,,,,,,,,,,446,-10.5,,,,,
,,,,,,,,,,447,+0.0,,,,,
,,,,,,,,,,448,-19.8,,,,,
,,,,,,,,,,449,-29.8,,,,,
,,,,,,,,,,450,+0.0,,,,,
,,,,,,,,,,451,+37.6,,,,,
