名前,だいち,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
,,,,,,,,,,234,+1589.3,1694,,,,,
,,,,,,,,,,235,+1576.7,1691,,,,,
,,,,,,,,,,236,+1584.2,1691,,,,,
,,,,,,,,,,237,+1592.0,1691,,,,,
,,,,,,,,,,238,+1638.9,1699,,,,,
,,,,,,,,,,239,+1645.2,1699,,,,,
,,,,,,,,,,240,+1669.5,1703,,,,,
,,,,,,,,,,241,+1659.1,1700,,,,,
,,,,,,,,,,242,+1658.1,1699,,,,,
,,,,,,,,,,243,+1677.9,1702,,,,,
,,,,,,,,,,244,+1705.6,1706,,,,,
,,,,,,,,,,245,+1713.1,1706,,,,,
,,,,,,,,,,246,+1744.6,1711,,,,,
,,,,,,,,,,247,+1797.1,1719,,,,,
,,,,,,,,,,248,+1790.9,1717,,,,,
,,,,,,,,,,249,+1782.1,1714,,,,,
,,,,,,,,,,250,+1800.6,1717,,,,,
,,,,,,,,,,251,+1833.7,1722,,,,,
,,,,,,,,,,252,+1901.7,1733,,,,,
,,,,,,,,,,253,+1879.8,1728,,,,,
,,,,,,,,,,254,+1888.8,1728,,,,,
,,,,,,,,,,255,+1915.4,1732,,,,,
,,,,,,,,,,256,+1935.4,1735,,,,,
,,,,,,,,,,257,+1890.0,1726,,,,,
,,,,,,,,,,258,+1884.9,1723,,,,,
,,,,,,,,,,259,+1887.1,1723,,,,,
,,,,,,,,,,260,+1960.4,1735,,,,,
,,,,,,,,,,261,+2000.5,1741,,,,,
,,,,,,,,,,262,+2091.4,1757,,,,,
,,,,,,,,,,263,+2122.4,1761,,,,,
,,,,,,,,,,264,+2146.1,1764,,,,,
,,,,,,,,,,265,+2175.2,1768,,,,,
,,,,,,,,,,266,+2167.9,1766,,,,,
,,,,,,,,,,267,+2136.2,1759,,,,,
,,,,,,,,,,268,+2223.3,1773,,,,,
,,,,,,,,,,269,+2261.7,1779,,,,,
,,,,,,,,,,270,+2308.9,1786,,,,,
,,,,,,,,,,271,+2363.5,1795,,,,,
,,,,,,,,,,272,+2371.5,1795,,,,,
,,,,,,,,,,273,+2315.5,1783,,,,,
,,,,,,,,,,274,+2317.4,1782,,,,,
,,,,,,,,,,275,+2319.3,1781,,,,,
,,,,,,,,,,276,+2295.4,1776,,,,,
,,,,,,,,,,277,+2359.6,1786,,,,,
,,,,,,,,,,278,+2358.3,1785,,,,,
,,,,,,,,,,279,+2409.2,1793,,,,,
,,,,,,,,,,280,+2445.9,1798,,,,,
,,,,,,,,,,281,+2482.2,1803,,,,,
,,,,,,,,,,282,+2545.2,1813,,,,,
,,,,,,,,,,283,+2515.4,1806,,,,,
,,,,,,,,,,284,+2486.3,1800,,,,,
,,,,,,,,,,285,+2545.6,1809,,,,,
,,,,,,,,,,286,+2593.1,1816,,,,,
,,,,,,,,,,287,+2623.6,1820,,,,,
,,,,,,,,,,288,+2686.8,1831,,,,,
,,,,,,,,,,289,+2678.3,1828,,,,,
,,,,,,,,,,290,+2740.1,1838,,,,,
,,,,,,,,,,291,+2765.4,1841,,,,,
,,,,,,,,,,292,+2797.3,1845,,,,,
,,,,,,,,,,293,+2866.3,1856,,,,,
,,,,,,,,,,294,+2903.0,1861,,,,,
,,,,,,,,,,295,+2972.6,1872,,,,,
,,,,,,,,,,296,+3021.1,1879,,,,,
,,,,,,,,,,297,+2968.8,1868,,,,,
,,,,,,,,,,298,+3004.0,1873,,,,,
,,,,,,,,,,299,+3037.5,1877,,,,,
,,,,,,,,,,300,+3041.0,1876,,,,,
,,,,,,,,,,301,+3098.0,1884,,,,,
,,,,,,,,,,302,+3093.6,1882,,,,,
,,,,,,,,,,303,+3102.6,1882,,,,,
,,,,,,,,,,304,+3154.5,1889,,,,,
,,,,,,,,,,305,+3149.3,1887,,,,,
,,,,,,,,,,306,+3179.9,1890,,,,,
,,,,,,,,,,307,+3178.6,1888,,,,,
,,,,,,,,,,308,+3174.5,1886,,,,,
,,,,,,,,,,309,+3208.2,1890,,,,,
,,,,,,,,,,310,+3264.2,1898,,,,,
,,,,,,,,,,311,+3206.2,1886,,,,,
,,,,,,,,,,312,+3307.2,1903,,,,,
,,,,,,,,,,313,+3400.1,1917,,,,,
,,,,,,,,,,314,+3369.8,1910,,,,,
,,,,,,,,,,315,+3399.2,1913,,,,,
,,,,,,,,,,316,+3408.2,1913,,,,,
,,,,,,,,,,317,+3439.0,1917,,,,,
,,,,,,,,,,318,+3475.4,1922,,,,,
,,,,,,,,,,319,+3514.9,1927,,,,,
,,,,,,,,,,320,+3544.1,1930,,,,,
,,,,,,,,,,321,+3519.3,1924,,,,,
,,,,,,,,,,322,+3516.5,1921,,,,,
,,,,,,,,,,323,+3455.4,1908,,,,,
,,,,,,,,,,324,+3500.8,1915,,,,,
,,,,,,,,,,325,+3462.8,1906,,,,,
,,,,,,,,,,326,+3462.3,1904,,,,,
,,,,,,,,,,327,+3488.9,1907,,,,,
,,,,,,,,,,328,+3534.6,1913,,,,,
,,,,,,,,,,329,+3477.8,1901,,,,,
,,,,,,,,,,330,+3478.9,1900,,,,,
,,,,,,,,,,331,+3443.8,1892,,,,,
,,,,,,,,,,332,+3386.5,1880,,,,,
,,,,,,,,,,333,+3425.1,1885,,,,,
,,,,,,,,,,334,+3386.5,1876,,,,,
,,,,,,,,,,335,+3424.7,1881,,,,,
,,,,,,,,,,336,+3375.0,1871,,,,,
,,,,,,,,,,337,+3372.0,1868,,,,,
,,,,,,,,,,338,+3413.8,1874,,,,,
,,,,,,,,,,339,+3442.2,1878,,,,,
,,,,,,,,,,340,+3401.9,1869,,,,,
,,,,,,,,,,341,+3400.6,1867,,,,,
,,,,,,,,,,342,+3456.5,1875,,,,,
,,,,,,,,,,343,+3500.2,1881,,,,,
,,,,,,,,,,344,+3552.8,1889,,,,,
,,,,,,,,,,345,+3554.2,1888,,,,,
,,,,,,,,,,346,+3546.9,1885,,,,,
,,,,,,,,,,347,+3510.9,1876,,,,,
,,,,,,,,,,348,+3570.8,1885,,,,,
,,,,,,,,,,349,+3524.7,1875,,,,,
,,,,,,,,,,350,+3567.6,1882,,,,,
,,,,,,,,,,351,+3562.4,1879,,,,,
,,,,,,,,,,352,+3571.2,1879,,,,,
,,,,,,,,,,353,+3570.9,1877,,,,,
,,,,,,,,,,354,+3624.4,1885,,,,,
,,,,,,,,,,355,+3627.4,1884,,,,,
,,,,,,,,,,356,+3568.5,1871,,,,,
,,,,,,,,,,357,+3512.2,1860,,,,,
,,,,,,,,,,358,+3454.8,1848,,,,,
,,,,,,,,,,359,+3524.4,1858,,,,,
,,,,,,,,,,360,+3505.7,1853,,,,,
,,,,,,,,,,361,+3543.1,1858,,,,,
,,,,,,,,,,362,+3483.1,1846,,,,,
,,,,,,,,,,363,+3473.2,1843,,,,,
,,,,,,,,,,364,+3407.3,1829,,,,,
,,,,,,,,,,365,+3459.1,1837,,,,,
,,,,,,,,,,366,+3402.2,1825,,,,,
,,,,,,,,,,367,+3403.7,1824,,,,,
,,,,,,,,,,368,+3351.9,1813,,,,,
,,,,,,,,,,369,+3295.8,1801,,,,,
,,,,,,,,,,370,+3236.8,1790,,,,,
,,,,,,,,,,371,+3241.1,1789,,,,,
,,,,,,,,,,372,+3325.5,1803,,,,,
,,,,,,,,,,373,+3361.9,1808,,,,,
,,,,,,,,,,374,+3382.6,1810,,,,,
,,,,,,,,,,375,+3420.0,1816,,,,,
,,,,,,,,,,376,+3420.0,1814,,,,,
,,,,,,,,,,377,+3417.0,1812,,,,,
,,,,,,,,,,378,+3446.6,1816,,,,,
,,,,,,,,,,379,+3480.1,1821,,,,,
,,,,,,,,,,380,+3488.2,1821,,,,,
,,,,,,,,,,381,+3518.6,1825,,,,,
,,,,,,,,,,382,+3455.6,1812,,,,,
,,,,,,,,,,383,+3556.5,1829,,,,,
,,,,,,,,,,384,+3533.1,1823,,,,,
,,,,,,,,,,385,+3463.6,1809,,,,,
,,,,,,,,,,386,+3493.0,1813,,,,,
,,,,,,,,,,387,+3572.6,1826,,,,,
,,,,,,,,,,388,+3522.1,1815,,,,,
,,,,,,,,,,389,+3480.4,1806,,,,,
,,,,,,,,,,390,+3445.5,1799,,,,,
,,,,,,,,,,391,+3439.3,1796,,,,,
,,,,,,,,,,392,+3499.6,1806,,,,,
,,,,,,,,,,393,+3528.4,1809,,,,,
,,,,,,,,,,394,+3521.8,1806,,,,,
,,,,,,,,,,395,+3523.8,1805,,,,,
,,,,,,,,,,396,+3591.6,1816,,,,,
,,,,,,,,,,397,+3590.4,1814,,,,,
,,,,,,,,,,398,+3614.1,1817,,,,,
,,,,,,,,,,399,+3641.8,1820,,,,,
,,,,,,,,,,400,+3687.1,1826,,,,,
,,,,,,,,,,401,+3696.1,1826,,,,,
,,,,,,,,,,402,+3664.3,1819,,,,,
,,,,,,,,,,403,+3657.0,1816,,,,,
,,,,,,,,,,404,+3653.5,1814,,,,,
,,,,,,,,,,405,+3617.1,1806,,,,,
,,,,,,,,,,406,+3634.7,1808,,,,,
,,,,,,,,,,407,+3678.5,1814,,,,,
,,,,,,,,,,408,+3737.5,1824,,,,,
,,,,,,,,,,409,+3702.8,1816,,,,,
,,,,,,,,,,410,+3695.4,1813,,,,,
,,,,,,,,,,411,+3745.1,1821,,,,,
,,,,,,,,,,412,+3830.5,1834,,,,,
,,,,,,,,,,413,+3899.8,1845,,,,,
,,,,,,,,,,414,+3914.8,1847,,,,,
,,,,,,,,,,415,+3863.9,1836,,,,,
,,,,,,,,,,416,+3822.7,1827,,,,,
,,,,,,,,,,417,+3789.8,1819,,,,,
,,,,,,,,,,418,+3803.3,1820,,,,,
,,,,,,,,,,419,+3845.5,1827,,,,,
,,,,,,,,,,420,+3840.5,1824,,,,,
,,,,,,,,,,421,+3875.5,1829,,,,,
,,,,,,,,,,422,+3885.0,1829,,,,,
,,,,,,,,,,423,+3829.7,1818,,,,,
,,,,,,,,,,424,+3860.7,1822,,,,,
,,,,,,,,,,425,+3825.4,1814,,,,,
,,,,,,,,,,426,+3866.5,1820,,,,,
,,,,,,,,,,427,+3921.1,1828,,,,,
,,,,,,,,,,428,+3921.0,1827,,,,,
,,,,,,,,,,429,+3933.9,1827,,,,,
,,,,,,,,,,430,+3956.5,1830,,,,,
,,,,,,,,,,431,+4011.1,1838,,,,,
,,,,,,,,,,432,+3977.3,1831,,,,,
,,,,,,,,,,433,+3945.5,1824,,,,,
,,,,,,,,,,434,+3983.1,1829,,,,,
,,,,,,,,,,435,+4036.3,1837,,,,,
,,,,,,,,,,436,+4072.4,1842,,,,,
,,,,,,,,,,437,+4046.0,1835,,,,,
,,,,,,,,,,438,+4107.0,1845,,,,,
,,,,,,,,,,439,+4142.4,1850,,,,,
,,,,,,,,,,440,+4197.9,1858,,,,,
,,,,,,,,,,441,+4231.2,1862,,,,,
,,,,,,,,,,442,+4204.4,1856,,,,,
,,,,,,,,,,443,+4197.7,1853,,,,,
,,,,,,,,,,444,+4238.1,1858,,,,,
,,,,,,,,,,445,+4180.1,1846,,,,,
,,,,,,,,,,446,+4227.6,1853,,,,,
,,,,,,,,,,447,+4225.7,1851,,,,,
