名前,全体,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
,,,,,,,,,,194,-31.0,1595,,,,,
,,,,,,,,,,195,+0.0,1601,,,,,
,,,,,,,,,,196,-18.4,1598,,,,,
,,,,,,,,,,197,-20.2,1597,,,,,
,,,,,,,,,,198,+0.0,1600,,,,,
,,,,,,,,,,199,-2.4,1599,,,,,
,,,,,,,,,,200,-32.7,1594,,,,,
,,,,,,,,,,201,+0.0,1599,,,,,
,,,,,,,,,,202,-21.7,1595,,,,,
,,,,,,,,,,203,+8.4,1601,,,,,
,,,,,,,,,,204,+0.0,1599,,,,,
,,,,,,,,,,205,+44.0,1607,,,,,
,,,,,,,,,,206,+3.3,1600,,,,,
,,,,,,,,,,207,+0.0,1600,,,,,
,,,,,,,,,,208,-6.2,1598,,,,,
,,,,,,,,,,209,-31.9,1594,,,,,
,,,,,,,,,,210,+0.0,1600,,,,,
,,,,,,,,,,211,-0.9,1599,,,,,
,,,,,,,,,,212,+39.8,1607,,,,,
,,,,,,,,,,213,+0.0,1599,,,,,
,,,,,,,,,,214,-53.9,1589,,,,,
,,,,,,,,,,215,-1.7,1599,,,,,
,,,,,,,,,,216,+0.0,1599,,,,,
,,,,,,,,,,217,-18.4,1595,,,,,
,,,,,,,,,,218,-16.8,1596,,,,,
,,,,,,,,,,219,+0.0,1599,,,,,
,,,,,,,,,,220,+36.2,1606,,,,,
,,,,,,,,,,221,+34.8,1605,,,,,
,,,,,,,,,,222,+0.0,1599,,,,,
,,,,,,,,,,223,-24.5,1595,,,,,
,,,,,,,,,,224,-0.6,1599,,,,,
,,,,,,,,,,225,+0.0,1600,,,,,
,,,,,,,,,,226,+35.5,1606,,,,,
,,,,,,,,,,227,+10.0,1601,,,,,
,,,,,,,,,,228,+0.0,1600,,,,,
,,,,,,,,,,229,+14.3,1602,,,,,
,,,,,,,,,,230,-3.4,1599,,,,,
,,,,,,,,,,231,+0.0,1600,,,,,
,,,,,,,,,,232,-22.7,1596,,,,,
,,,,,,,,,,233,+12.3,1603,,,,,
,,,,,,,,,,234,+0.0,1601,,,,,
,,,,,,,,,,235,-5.6,1600,,,,,
,,,,,,,,,,236,-22.2,1598,,,,,
,,,,,,,,,,237,+0.0,1602,,,,,
,,,,,,,,,,238,+50.9,1611,,,,,
,,,,,,,,,,239,-2.0,1602,,,,,
,,,,,,,,,,240,+0.0,1602,,,,,
,,,,,,,,,,241,-26.0,1598,,,,,
,,,,,,,,,,242,-4.5,1602,,,,,
,,,,,,,,,,243,+0.0,1603,,,,,
,,,,,,,,,,244,-40.7,1596,,,,,
,,,,,,,,,,245,-4.2,1603,,,,,
,,,,,,,,,,246,+0.0,1604,,,,,
,,,,,,,,,,247,+4.7,1605,,,,,
,,,,,,,,,,248,+44.6,1612,,,,,
,,,,,,,,,,249,+0.0,1604,,,,,
,,,,,,,,,,250,+15.4,1607,,,,,
,,,,,,,,,,251,+17.8,1608,,,,,
,,,,,,,,,,252,+0.0,1604,,,,,
,,,,,,,,,,253,+5.1,1605,,,,,
,,,,,,,,,,254,+22.9,1609,,,,,
,,,,,,,,,,255,+0.0,1605,,,,,
,,,,,,,,,,256,-11.5,1603,,,,,
,,,,,,,,,,257,-0.5,1605,,,,,
,,,,,,,,,,258,+0.0,1606,,,,,
,,,,,,,,,,259,-5.1,1605,,,,,
,,,,,,,,,,260,+45.3,1614,,,,,
,,,,,,,,,,261,+0.0,1607,,,,,
,,,,,,,,,,262,-6.9,1605,,,,,
,,,,,,,,,,263,+18.8,1610,,,,,
,,,,,,,,,,264,+0.0,1607,,,,,
,,,,,,,,,,265,-19.3,1603,,,,,
,,,,,,,,,,266,-17.7,1603,,,,,
,,,,,,,,,,267,+0.0,1606,,,,,
,,,,,,,,,,268,+0.7,1606,,,,,
,,,,,,,,,,269,-36.3,1600,,,,,
,,,,,,,,,,270,+0.0,1606,,,,,
,,,,,,,,,,271,+12.5,1608,,,,,
,,,,,,,,,,272,-24.5,1600,,,,,
,,,,,,,,,,273,+0.0,1604,,,,,
,,,,,,,,,,274,+8.7,1606,,,,,
,,,,,,,,,,275,-22.0,1600,,,,,
,,,,,,,,,,276,+0.0,1604,,,,,
,,,,,,,,,,277,+40.5,1612,,,,,
,,,,,,,,,,278,-12.3,1602,,,,,
,,,,,,,,,,279,+0.0,1604,,,,,
,,,,,,,,,,280,+63.0,1616,,,,,
,,,,,,,,,,281,+53.2,1614,,,,,
,,,,,,,,,,282,+0.0,1605,,,,,
,,,,,,,,,,283,+50.9,1614,,,,,
,,,,,,,,,,284,+30.8,1609,,,,,
,,,,,,,,,,285,+0.0,1604,,,,,
,,,,,,,,,,286,+14.9,1606,,,,,
,,,,,,,,,,287,+16.7,1606,,,,,
,,,,,,,,,,288,+0.0,1603,,,,,
,,,,,,,,,,289,-5.5,1602,,,,,
,,,,,,,,,,290,-64.9,1591,,,,,
,,,,,,,,,,291,+0.0,1603,,,,,
,,,,,,,,,,292,-4.8,1601,,,,,
,,,,,,,,,,293,+24.2,1605,,,,,
,,,,,,,,,,294,+0.0,1600,,,,,
